ID,tournament,year,winner,winner_seed,winner_nationality,runner_up,runner_up_seed,runner_up_nationality,score
34,W,2001,Goran Ivanioevic,99,CRO,Patrick Rafter,3,AUS,"6-3, 3-6, 6-3, 2-6, 9-7"
35,W,2002,Lleyton Hewitt,1,AUS,David Nalbandian,99,ARG,"6-1, 6-3, 6-2"
36,W,2003,Roger Federer,4,SUI,Mark Philippoussis,99,AUS,"7-6(7-5), 6-2, 7-6(7-3)"
37,W,2004,Roger Federer,1,SUI,Andy Roddick,2,USA,"4-6, 7-5, 7-6(7-3), 6-4"
38,W,2005,Roger Federer,1,SUI,Andy Roddick,2,USA,"6-2, 7-6(7-2), 6-4"
39,W,2006,Roger Federer,1,SUI,Rafael Nadal,2,ESP,"6-0, 7-6(7-5), 6-7(2-7), 6-3"
40,W,2007,Roger Federer,1,SUI,Rafael Nadal,2,ESP,"7-6(9-7), 4-6, 7-6(7-3), 2-6, 6-2"
41,W,2008,Rafael Nadal,2,ESP,Roger Federer,1,SUI,"6-4, 6-4, 6-7(5-7), 6-7(8-10), 9-7"
42,W,2009,Roger Federer,2,SUI,Andy Roddick,6,USA,"5-7, 7-6(8-6), 7-6(7-5), 3-6, 16-14"
43,W,2010,Rafael Nadal,2,ESP,Tomas Berdych,12,CZE,"6-3, 7-5, 6-4"
44,W,2011,Novak Djokovic,2,SRB,Rafael Nadal,1,ESP,"6-4, 6-1, 1-6, 6-3"
45,W,2012,Roger Federer,3,SUI,Andy Murray,4,GBR,"4-6, 7-5, 6-3, 6-4"
46,W,2013,Andy Murray,2,GBR,Novak Djokovic,1,SRB,"6-4, 7-5, 6-4"
47,W,2014,Novak Djokovic,1,SRB,Roger Federer,4,SUI,"6-7(7-9), 6-4, 7-6(7-4), 5-7, 6-4"
48,W,2015,Novak Djokovic,1,SRB,Roger Federer,2,SUI,"7-6(7-1), 6-7(10-12), 6-4, 6-3"
49,W,2016,Andy Murray,2,GBR,Milos Raonic,6,CAN,"6-4, 7-6(7-3), 7-6(7-2)"
50,W,2017,Roger Federer,3,SUI,Marin Cilic,7,CRO,"6-3, 6-1, 6-4"
51,W,2018,Novak Djokovic,12,SRB,Kevin Anderson,8,RSA,"6-2, 6-2, 7-6(7--3)"
52,U,1968,Arthur Ashe,5,USA,Tom Okker,8,NED,"14-12, 5-7, 6-3, 3-6, 6-3"
53,U,1969,Rod Laver,1,AUS,Tony Roche,3,AUS,"7-9, 6-1, 6-2, 6-2"
54,U,1970,Ken Rosewall,3,AUS,Tony Roche,4,AUS,"2-6, 6-4, 7-6(5-2), 6-3[g]"
55,U,1971,Stan Smith,2,USA,Jan Kodeo,99,TCH,"3-6, 6-3, 6-2, 7-6(5-3)"
56,U,1972,Ilie Nastase,4,ROU,Arthur Ashe,6,USA,"3-6, 6-3, 6-7(1-5), 6-4, 6-3"
57,U,1973,John Newcombe,10,AUS,Jan Kodeo,6,TCH,"6-4, 1-6, 4-6, 6-2, 6-3"
58,U,1974,Jimmy Connors,1,USA,Ken Rosewall,5,AUS,"6-1, 6-0, 6-1"
59,U,1975,Manuel Orantes,3,ESP,Jimmy Connors,1,USA,"6-4, 6-3, 6-3"
60,U,1976,Jimmy Connors,1,USA,Bjorn Borg,2,SWE,"6-4, 3-6, 7-6(11-9), 6-4"
61,U,1977,Guillermo Vilas,4,ARG,Jimmy Connors,2,USA,"2-6, 6-3, 7-6(7-4), 6-0"
62,U,1978,Jimmy Connors,2,USA,Bjorn Borg,1,SWE,"6-4, 6-2, 6-2"
63,U,1979,John McEnroe,3,USA,Vitas Gerulaitis,4,USA,"7-5, 6-3, 6-3"
64,U,1980,John McEnroe,2,USA,Bjorn Borg,1,SWE,"7-6(7-4), 6-1, 6-7(5-7), 5-7, 6-4"
65,U,1981,John McEnroe,1,USA,Bjorn Borg,2,SWE,"4-6, 6-2, 6-4, 6-3"
66,U,1982,Jimmy Connors,2,USA,Ivan Lendl,3,TCH,"6-3, 6-2, 4-6, 6-4"
67,U,1983,Jimmy Connors,3,USA,Ivan Lendl,2,TCH,"6-3, 6-7(2-7), 7-5, 6-0"
68,U,1984,John McEnroe,1,USA,Ivan Lendl,2,TCH,"6-3, 6-4, 6-1"
69,U,1985,Ivan Lendl,2,TCH,John McEnroe,1,USA,"7-6(7-1), 6-3, 6-4"
